HCHO Reading,Location,Current Date,Next Date
0.0001002457589729,"Bibile, Monaragala",2020-01-03,2020-01-04
3.286016579496975e-05,"Bibile, Monaragala",2020-01-04,2020-01-05
3.071760518502251e-05,"Bibile, Monaragala",2020-01-05,2020-01-06
0.00012214959843575543,"Bibile, Monaragala",2020-01-06,2020-01-07
0.00012214959843575543,"Bibile, Monaragala",2020-01-07,2020-01-08
4.286209778128145e-05,"Bibile, Monaragala",2020-01-08,2020-01-09
5.750193863655609e-05,"Bibile, Monaragala",2020-01-09,2020-01-10
0.0001446769434324,"Bibile, Monaragala",2020-01-10,2020-01-11
0.00012214959843575543,"Bibile, Monaragala",2020-01-11,2020-01-12
4.9088348810138415e-05,"Bibile, Monaragala",2020-01-12,2020-01-13
5.641005532275563e-05,"Bibile, Monaragala",2020-01-13,2020-01-14
2.0383452845553944e-05,"Bibile, Monaragala",2020-01-14,2020-01-15
0.0001958479692669,"Bibile, Monaragala",2020-01-15,2020-01-16
0.000238841770169,"Bibile, Monaragala",2020-01-16,2020-01-17
0.00012214959843575543,"Bibile, Monaragala",2020-01-17,2020-01-18
-0.0001210906193591,"Bibile, Monaragala",2020-01-18,2020-01-19
1.5958878447645566e-05,"Bibile, Monaragala",2020-01-19,2020-01-20
0.00012214959843575543,"Bibile, Monaragala",2020-01-20,2020-01-21
-8.7612250354141e-05,"Bibile, Monaragala",2020-01-21,2020-01-22
